2351 2358 6006 580 101896 24568 66427 101561 87411 134500 65182 42493 28921 63194 65872 105996 155381 87942 38164 151689
5307 4795 6238 6740 71396 20912 48931 71961 56684 50945 148015 7707 77855 52197 19175 152608 83165 72138 19969 108267
3938 1521 3937 5959 120329 39630 147128 139145 79151 67225 118068 8492 61286 109254 91834 36929 155671 123116 154778 33100
3267 3268 5965 6120 109726 11371 120616 9335 111059 105014 43749 30965 94082 21460 57271 27680 30741 86360 25739 36957
4993 5261 5277 5627 113203 70439 34317 133175 122715 125299 144556 94554 81665 71583 12160 47960 88327 99755 81965 152423
694 2758 5649 2757 139734 41280 124654 60452 86209 30202 89327 90000 143517 51868 109937 42659 40869 14957 74490 134447
2043 2004 451 5138 94692 8799 15433 103735 110573 105788 27441 146646 74549 111194 31344 92001 59145 36109 87430 8422
1734 1737 5720 6173 138821 27385 143449 15634 133894 145612 24841 50790 61849 78555 114979 22266 85708 151675 133384 142240
5764 5880 6205 7195 154006 124226 76508 32166 25701 67034 45075 46464 86752 69446 66437 42555 86652 111236 89275 12672
4815 4814 5884 6042 90267 86571 64686 124345 36955 73510 64974 97415 25889 93730 78303 115303 47821 33783 67079 80163
3748 3747 5813 6259 124486 51969 106585 76556 153514 28084 147726 137446 13582 35274 124020 30738 12311 29495 148542 131099
4151 1654 6611 7222 144356 71224 10860 115373 147043 55459 114330 39540 56499 27013 56534 96740 85075 142106 109598 142347
3724 999 3670 5535 87364 89626 89704 124197 56803 116742 81247 152990 11844 120625 58907 36106 147580 88279 53751 19288
4003 4004 5436 4007 137105 115740 29400 16993 146476 139006 127601 46227 63809 88667 135045 146070 111507 116019 31056 71675
4861 5372 6156 6967 39565 80464 81761 94486 112424 130734 138922 40791 143124 70154 123326 99599 121105 19965 27880 69842
423 1908 1909 2032 79728 79002 17258 135396 96501 80085 30873 81596 30795 96371 53637 119843 97440 129191 144729 81763
6380 6218 6560 7112 118020 58221 90009 73547 125380 53337 148304 95769 7573 130356 46072 89029 126642 146090 90730 63439
3471 3294 889 5857 26904 27754 154197 127706 7783 68972 70398 12232 29302 14006 85447 42954 55275 65527 67545 45606
5561 5743 6242 6427 8470 104146 40971 122671 25236 36908 73568 151781 81683 135729 120862 93379 68711 19083 121605 154432
676 2653 5658 6268 9456 27955 148671 51779 103551 43907 128732 102014 78618 56005 80813 144079 72059 22658 107248 98716
4839 4838 5424 6920 10459 135650 60423 44881 117791 82103 47710 97672 66232 155821 103031 76369 17498 109309 75087 26100
4550 5778 6451 6749 102966 18828 115735 44420 42432 83321 33525 49096 94195 119791 52585 88934 105168 74837 25354 76988
3395 3407 5275 5606 137951 134382 47618 82481 64995 45625 65788 70802 33734 88389 78971 113631 148573 23528 43609 38255
5094 6058 6756 6804 120981 126834 35924 89149 114137 143882 67268 149616 63739 119718 118997 14508 25725 100610 96183 74893
5540 4933 6306 6846 59293 57615 70104 122413 108085 68563 108834 141343 92078 29896 121322 125612 40802 122479 13546 23801
1043 3847 6519 3829 144219 127529 105972 52695 104972 111042 115681 74587 127143 21876 10068 79554 154870 65603 30636 141425
6781 5189 6978 7151 133983 131558 36297 28733 151690 24952 141385 81851 133205 122359 15631 42459 15112 68428 110819 13905
1450 216 6603 1448 19826 24524 135265 27342 125095 67176 52390 149552 84802 138828 33116 129880 33588 78340 63440 30622
3598 5465 5549 7123 96976 33011 110598 68444 66601 41786 137680 36043 40755 67774 72570 16402 151699 106545 127747 141383
1263 1262 5292 7165 38030 70732 48306 47310 104657 130005 153008 33961 103253 89654 27378 146342 148879 14611 55414 65844
4814 4834 4833 6863 109988 110911 42825 35179 144173 63753 62708 120502 138494 30024 111506 64914 133173 45603 80150 46480
1197 4710 5501 6662 47444 151118 41362 111682 115149 56050 71315 65756 140017 139388 93885 99225 49760 117401 132846 85549
5217 5568 6226 6622 149759 7844 80365 56020 35753 131761 79620 95284 155953 50821 124470 141642 99560 43338 140760 70648
192 1413 5703 1410 128236 81786 130346 149473 19215 75792 10030 100926 145235 137360 94324 59558 57183 21827 103689 106967
1917 1954 6695 7192 153576 93313 65880 56687 79464 151018 75719 20018 106386 34054 39699 19514 91160 45790 120139 32960
6016 6011 6880 7192 13049 87088 47682 147318 16433 30762 72787 26276 29215 142885 121406 47319 85660 145829 39332 9134
5667 5895 6057 6854 131224 82537 66137 58344 133771 72871 107052 96960 50043 58585 98554 65546 138786 106053 116718 104288
1267 101 5879 6907 29023 115124 104388 61115 79769 112544 39314 150493 126752 126191 63790 93547 123548 75788 40246 78074
5353 5460 5551 6304 63509 67880 106614 147460 30226 126872 45177 40870 70890 112723 55210 101348 22487 110744 102559 71532
